,exp,data type,label,time,data
0,UMSTBG1d,behavior,whisk,0,1.008154511
1,UMSTBG1d,behavior,whisk,0.1,1.234919906
2,UMSTBG1d,behavior,whisk,0.2,1.320617795
3,UMSTBG1d,behavior,whisk,0.3,1.642650127
4,UMSTBG1d,behavior,whisk,0.4,1.185173035
5,UMSTBG1d,behavior,whisk,0.5,0.814795971
6,UMSTBG1d,behavior,whisk,0.6,0.878660977
7,UMSTBG1d,behavior,whisk,0.7,2.176432371
8,UMSTBG1d,behavior,whisk,0.8,0.619425476
9,UMSTBG1d,behavior,whisk,0.9,1.121905923
10,UMSTBG1d,behavior,whisk,1,1.451454997
11,UMSTBG1d,behavior,whisk,1.1,1.250985742
12,UMSTBG1d,behavior,whisk,1.2,1.008096099
13,UMSTBG1d,behavior,whisk,1.3,1.654858232
14,UMSTBG1d,behavior,whisk,1.4,0.869116724
15,UMSTBG1d,behavior,whisk,1.5,0.874145329
16,UMSTBG1d,behavior,whisk,1.6,0.426083326
17,UMSTBG1d,behavior,whisk,1.7,0.327948034
18,UMSTBG1d,behavior,whisk,1.8,0.667548955
19,UMSTBG1d,behavior,whisk,1.9,0.330549598
20,UMSTBG1d,behavior,whisk,2,0.076299675
21,UMSTBG1d,behavior,whisk,2.1,0.074357212
22,UMSTBG1d,behavior,whisk,2.2,0.133167684
23,UMSTBG1d,behavior,whisk,2.3,0.61959821
24,UMSTBG1d,behavior,whisk,2.4,0.79281491
25,UMSTBG1d,behavior,whisk,2.5,0.370987088
26,UMSTBG1d,behavior,whisk,2.6,0.274527848
27,UMSTBG1d,behavior,whisk,2.7,0.290626466
28,UMSTBG1d,behavior,whisk,2.8,0.120744385
29,UMSTBG1d,behavior,whisk,2.9,0.029535899
30,UMSTBG1d,behavior,whisk,3,0.064471036
31,UMSTBG1d,behavior,whisk,3.1,0.068168409
32,UMSTBG1d,behavior,whisk,3.2,0.247392535
33,UMSTBG1d,behavior,whisk,3.3,0.356277347
34,UMSTBG1d,behavior,whisk,3.4,0.169499621
35,UMSTBG1d,behavior,whisk,3.5,0.381937712
36,UMSTBG1d,behavior,whisk,3.6,0.136925772
37,UMSTBG1d,behavior,whisk,3.7,1.36251688
38,UMSTBG1d,behavior,whisk,3.8,0.906760514
39,UMSTBG1d,behavior,whisk,3.9,0.592635155
40,UMSTBG1d,behavior,whisk,4,0.270325035
41,UMSTBG1d,behavior,whisk,4.1,0.292670429
42,UMSTBG1d,behavior,whisk,4.2,0.313867688
43,UMSTBG1d,behavior,whisk,4.3,0.263340265
44,UMSTBG1d,behavior,whisk,4.4,0.182560846
45,UMSTBG1d,behavior,whisk,4.5,0.305701435
46,UMSTBG1d,behavior,whisk,4.6,0.205959201
47,UMSTBG1d,behavior,whisk,4.7,0.667931318
48,UMSTBG1d,behavior,whisk,4.8,0.203293875
49,UMSTBG1d,behavior,whisk,4.9,0.318246394
50,UMSTBG1d,behavior,whisk,5,0.2804434
51,UMSTBG1d,behavior,whisk,5.1,0.244247153
52,UMSTBG1d,behavior,whisk,5.2,0.17285417
53,UMSTBG1d,behavior,whisk,5.3,0.089695327
54,UMSTBG1d,behavior,whisk,5.4,0.03032192
55,UMSTBG1d,behavior,whisk,5.5,0.014992289
56,UMSTBG1d,behavior,whisk,5.6,0.009586401
57,UMSTBG1d,behavior,whisk,5.7,0.009772184
58,UMSTBG1d,behavior,whisk,5.8,1.8325032
59,UMSTBG1d,behavior,whisk,5.9,0.977809429
60,UMSTBG1d,behavior,whisk,6,0.885428429
61,UMSTBG1d,behavior,whisk,6.1,0.291022301
62,UMSTBG1d,behavior,whisk,6.2,0.243691936
63,UMSTBG1d,behavior,whisk,6.3,0.184593841
64,UMSTBG1d,behavior,whisk,6.4,0.185134456
65,UMSTBG1d,behavior,whisk,6.5,0.433347225
66,UMSTBG1d,behavior,whisk,6.6,0.34684822
67,UMSTBG1d,behavior,whisk,6.7,0.159365058
68,UMSTBG1d,behavior,whisk,6.8,0.088480808
69,UMSTBG1d,behavior,whisk,6.9,0.075470999
70,UMSTBG1d,behavior,whisk,7,0.043277379
71,UMSTBG1d,behavior,whisk,7.1,0.060969453
72,UMSTBG1d,behavior,whisk,7.2,0.114216931
73,UMSTBG1d,behavior,whisk,7.3,0.072877511
74,UMSTBG1d,behavior,whisk,7.4,0.10313154
75,UMSTBG1d,behavior,whisk,7.5,0.048267782
76,UMSTBG1d,behavior,whisk,7.6,0.081300057
77,UMSTBG1d,behavior,whisk,7.7,0.048171628
78,UMSTBG1d,behavior,whisk,7.8,0.080679029
79,UMSTBG1d,behavior,whisk,7.9,0.07345999
80,UMSTBG1d,behavior,whisk,8,0.078845739
81,UMSTBG1d,behavior,whisk,8.1,0.066099517
82,UMSTBG1d,behavior,whisk,8.2,0.099930517
83,UMSTBG1d,behavior,whisk,8.3,0.089179039
84,UMSTBG1d,behavior,whisk,8.4,0.051447902
85,UMSTBG1d,behavior,whisk,8.5,0.054831434
86,UMSTBG1d,behavior,whisk,8.6,0.063849479
87,UMSTBG1d,behavior,whisk,8.7,0.051316574
88,UMSTBG1d,behavior,whisk,8.8,0.053899426
89,UMSTBG1d,behavior,whisk,8.9,0.269290358
90,UMSTBG1d,behavior,whisk,9,0.255363435
91,UMSTBG1d,behavior,whisk,9.1,0.229999706
92,UMSTBG1d,behavior,whisk,9.2,0.180324212
93,UMSTBG1d,behavior,whisk,9.3,0.071825229
94,UMSTBG1d,behavior,whisk,9.4,0.034971155
95,UMSTBG1d,behavior,whisk,9.5,0.090557575
96,UMSTBG1d,behavior,whisk,9.6,0.056379821
97,UMSTBG1d,behavior,whisk,9.7,0.032788694
98,UMSTBG1d,behavior,whisk,9.8,0.043989021
99,UMSTBG1d,behavior,whisk,9.9,0.067095868
100,UMSTBG1d,behavior,whisk,10,0.133037999
101,UMSTBG1d,behavior,whisk,10.1,0.059412342
102,UMSTBG1d,behavior,whisk,10.2,0.054945569
103,UMSTBG1d,behavior,whisk,10.3,0.044427365
104,UMSTBG1d,behavior,whisk,10.4,0.037287321
105,UMSTBG1d,behavior,whisk,10.5,0.035126474
106,UMSTBG1d,behavior,whisk,10.6,0.056312561
107,UMSTBG1d,behavior,whisk,10.7,0.082065046
108,UMSTBG1d,behavior,whisk,10.8,0.073402546
109,UMSTBG1d,behavior,whisk,10.9,0.056699455
110,UMSTBG1d,behavior,whisk,11,0.045803461
111,UMSTBG1d,behavior,whisk,11.1,0.056608696
112,UMSTBG1d,behavior,whisk,11.2,0.069900274
113,UMSTBG1d,behavior,whisk,11.3,0.048563916
114,UMSTBG1d,behavior,whisk,11.4,0.067997955
115,UMSTBG1d,behavior,whisk,11.5,0.105831362
116,UMSTBG1d,behavior,whisk,11.6,0.119902253
117,UMSTBG1d,behavior,whisk,11.7,0.090107061
118,UMSTBG1d,behavior,whisk,11.8,0.154826701
119,UMSTBG1d,behavior,whisk,11.9,0.157342479
120,UMSTBG1d,behavior,whisk,12,0.673601151
121,UMSTBG1d,behavior,whisk,12.1,0.244687781
122,UMSTBG1d,behavior,whisk,12.2,0.469979495
123,UMSTBG1d,behavior,whisk,12.3,0.632651269
124,UMSTBG1d,behavior,whisk,12.4,0.274316222
125,UMSTBG1d,behavior,whisk,12.5,0.062668249
126,UMSTBG1d,behavior,whisk,12.6,0.046507638
127,UMSTBG1d,behavior,whisk,12.7,0.088913798
128,UMSTBG1d,behavior,whisk,12.8,0.099845797
129,UMSTBG1d,behavior,whisk,12.9,0.707205951
