,exp,data type,label,time,data
0,UMSTBG,behavior,whisk,0,1.180589676
1,UMSTBG,behavior,whisk,0.1,1.33654058
2,UMSTBG,behavior,whisk,0.2,1.905540466
3,UMSTBG,behavior,whisk,0.3,1.241959691
4,UMSTBG,behavior,whisk,0.4,2.028509617
5,UMSTBG,behavior,whisk,0.5,1.204241157
6,UMSTBG,behavior,whisk,0.6,2.768640757
7,UMSTBG,behavior,whisk,0.7,1.215248823
8,UMSTBG,behavior,whisk,0.8,0.879393637
9,UMSTBG,behavior,whisk,0.9,1.113488317
10,UMSTBG,behavior,whisk,1,0.925758898
11,UMSTBG,behavior,whisk,1.1,1.713002086
12,UMSTBG,behavior,whisk,1.2,1.13607192
13,UMSTBG,behavior,whisk,1.3,1.423421264
14,UMSTBG,behavior,whisk,1.4,1.713819504
15,UMSTBG,behavior,whisk,1.5,0.732910872
16,UMSTBG,behavior,whisk,1.6,1.091296315
17,UMSTBG,behavior,whisk,1.7,1.100621462
18,UMSTBG,behavior,whisk,1.8,0.925622702
19,UMSTBG,behavior,whisk,1.9,1.41402638
20,UMSTBG,behavior,whisk,2,1.44154489
21,UMSTBG,behavior,whisk,2.1,0.636452615
22,UMSTBG,behavior,whisk,2.2,1.573851228
23,UMSTBG,behavior,whisk,2.3,1.948947787
24,UMSTBG,behavior,whisk,2.4,1.458076477
25,UMSTBG,behavior,whisk,2.5,1.933376431
26,UMSTBG,behavior,whisk,2.6,1.244258046
27,UMSTBG,behavior,whisk,2.7,1.626694083
28,UMSTBG,behavior,whisk,2.8,1.843946099
29,UMSTBG,behavior,whisk,2.9,1.386933208
30,UMSTBG,behavior,whisk,3,1.365305901
31,UMSTBG,behavior,whisk,3.1,1.195696235
32,UMSTBG,behavior,whisk,3.2,2.216172218
33,UMSTBG,behavior,whisk,3.3,1.656766415
34,UMSTBG,behavior,whisk,3.4,2.817532301
35,UMSTBG,behavior,whisk,3.5,1.942760348
36,UMSTBG,behavior,whisk,3.6,2.939658165
37,UMSTBG,behavior,whisk,3.7,2.591123343
38,UMSTBG,behavior,whisk,3.8,1.75688076
39,UMSTBG,behavior,whisk,3.9,1.111853004
40,UMSTBG,behavior,whisk,4,1.713742375
41,UMSTBG,behavior,whisk,4.1,1.710899353
42,UMSTBG,behavior,whisk,4.2,1.405852795
43,UMSTBG,behavior,whisk,4.3,2.736825943
44,UMSTBG,behavior,whisk,4.4,1.152139306
45,UMSTBG,behavior,whisk,4.5,2.230040789
46,UMSTBG,behavior,whisk,4.6,1.501730084
47,UMSTBG,behavior,whisk,4.7,3.13689971
48,UMSTBG,behavior,whisk,4.8,2.082567215
49,UMSTBG,behavior,whisk,4.9,2.297891378
50,UMSTBG,behavior,whisk,5,2.201978207
51,UMSTBG,behavior,whisk,5.1,1.710969567
52,UMSTBG,behavior,whisk,5.2,2.735797167
53,UMSTBG,behavior,whisk,5.3,1.480815291
54,UMSTBG,behavior,whisk,5.4,1.341447949
55,UMSTBG,behavior,whisk,5.5,1.888144851
56,UMSTBG,behavior,whisk,5.6,1.806369185
57,UMSTBG,behavior,whisk,5.7,0.734927177
58,UMSTBG,behavior,whisk,5.8,2.473773003
59,UMSTBG,behavior,whisk,5.9,2.240899086
60,UMSTBG,behavior,whisk,6,2.267729044
61,UMSTBG,behavior,whisk,6.1,2.484300375
62,UMSTBG,behavior,whisk,6.2,1.254654765
63,UMSTBG,behavior,whisk,6.3,2.355724573
64,UMSTBG,behavior,whisk,6.4,2.349933386
65,UMSTBG,behavior,whisk,6.5,2.025690079
66,UMSTBG,behavior,whisk,6.6,2.130879164
67,UMSTBG,behavior,whisk,6.7,1.841651559
68,UMSTBG,behavior,whisk,6.8,2.582723618
69,UMSTBG,behavior,whisk,6.9,1.636889935
70,UMSTBG,behavior,whisk,7,2.176994085
71,UMSTBG,behavior,whisk,7.1,1.935979366
72,UMSTBG,behavior,whisk,7.2,1.813136101
73,UMSTBG,behavior,whisk,7.3,1.115269065
74,UMSTBG,behavior,whisk,7.4,2.039242029
75,UMSTBG,behavior,whisk,7.5,1.674150109
76,UMSTBG,behavior,whisk,7.6,1.255331397
77,UMSTBG,behavior,whisk,7.7,1.998921752
78,UMSTBG,behavior,whisk,7.8,1.493662477
79,UMSTBG,behavior,whisk,7.9,1.4062289
80,UMSTBG,behavior,whisk,8,1.431746125
81,UMSTBG,behavior,whisk,8.1,0.863731325
82,UMSTBG,behavior,whisk,8.2,1.364023566
83,UMSTBG,behavior,whisk,8.3,1.314512372
84,UMSTBG,behavior,whisk,8.4,1.119227529
85,UMSTBG,behavior,whisk,8.5,1.49418962
86,UMSTBG,behavior,whisk,8.6,2.119486332
87,UMSTBG,behavior,whisk,8.7,1.947250366
88,UMSTBG,behavior,whisk,8.8,1.834156513
89,UMSTBG,behavior,whisk,8.9,0.835399687
90,UMSTBG,behavior,whisk,9,2.024003744
91,UMSTBG,behavior,whisk,9.1,2.469193935
92,UMSTBG,behavior,whisk,9.2,1.367691517
93,UMSTBG,behavior,whisk,9.3,1.405395389
94,UMSTBG,behavior,whisk,9.4,1.79324162
95,UMSTBG,behavior,whisk,9.5,2.369485617
96,UMSTBG,behavior,whisk,9.6,1.715699792
97,UMSTBG,behavior,whisk,9.7,1.385004044
98,UMSTBG,behavior,whisk,9.8,0.871216595
99,UMSTBG,behavior,whisk,9.9,2.34638381
100,UMSTBG,behavior,whisk,10,1.866313457
101,UMSTBG,behavior,whisk,10.1,0.994611919
102,UMSTBG,behavior,whisk,10.2,1.065786362
103,UMSTBG,behavior,whisk,10.3,0.995208025
104,UMSTBG,behavior,whisk,10.4,2.290497065
105,UMSTBG,behavior,whisk,10.5,2.493075371
106,UMSTBG,behavior,whisk,10.6,1.781094193
107,UMSTBG,behavior,whisk,10.7,2.142084122
108,UMSTBG,behavior,whisk,10.8,1.744361877
109,UMSTBG,behavior,whisk,10.9,2.088056564
110,UMSTBG,behavior,whisk,11,2.039776325
111,UMSTBG,behavior,whisk,11.1,0.85171175
112,UMSTBG,behavior,whisk,11.2,1.625640035
113,UMSTBG,behavior,whisk,11.3,1.34380722
114,UMSTBG,behavior,whisk,11.4,1.512050033
115,UMSTBG,behavior,whisk,11.5,1.792750001
116,UMSTBG,behavior,whisk,11.6,1.111928701
117,UMSTBG,behavior,whisk,11.7,1.23835659
118,UMSTBG,behavior,whisk,11.8,2.127961159
119,UMSTBG,behavior,whisk,11.9,1.165897608
120,UMSTBG,behavior,whisk,12,1.251737714
121,UMSTBG,behavior,whisk,12.1,1.075209498
122,UMSTBG,behavior,whisk,12.2,1.781414509
123,UMSTBG,behavior,whisk,12.3,0.516500711
