,exp,data type,label,time,data
0,UMS,behavior,whisk,0,0.16403091
1,UMS,behavior,whisk,0.1,0.194915965
2,UMS,behavior,whisk,0.2,0.179231986
3,UMS,behavior,whisk,0.3,0.140912518
4,UMS,behavior,whisk,0.4,0.143480852
5,UMS,behavior,whisk,0.5,0.285798281
6,UMS,behavior,whisk,0.6,0.465589285
7,UMS,behavior,whisk,0.7,0.315060288
8,UMS,behavior,whisk,0.8,0.54426378
9,UMS,behavior,whisk,0.9,1.138525367
10,UMS,behavior,whisk,1,2.908125639
11,UMS,behavior,whisk,1.1,2.27910018
12,UMS,behavior,whisk,1.2,0.506966353
13,UMS,behavior,whisk,1.3,0.67426014
14,UMS,behavior,whisk,1.4,2.09197402
15,UMS,behavior,whisk,1.5,2.248396873
16,UMS,behavior,whisk,1.6,1.560269952
17,UMS,behavior,whisk,1.7,1.622149825
18,UMS,behavior,whisk,1.8,0.747124434
19,UMS,behavior,whisk,1.9,1.777637482
20,UMS,behavior,whisk,2,1.071603417
21,UMS,behavior,whisk,2.1,1.430101395
22,UMS,behavior,whisk,2.2,1.631259441
23,UMS,behavior,whisk,2.3,2.592432976
24,UMS,behavior,whisk,2.4,2.839232683
25,UMS,behavior,whisk,2.5,1.169318676
26,UMS,behavior,whisk,2.6,1.174966216
27,UMS,behavior,whisk,2.7,1.877694249
28,UMS,behavior,whisk,2.8,0.790828764
29,UMS,behavior,whisk,2.9,1.178691268
30,UMS,behavior,whisk,3,1.63559711
31,UMS,behavior,whisk,3.1,2.013163328
32,UMS,behavior,whisk,3.2,1.536330581
33,UMS,behavior,whisk,3.3,1.281879783
34,UMS,behavior,whisk,3.4,1.083903909
35,UMS,behavior,whisk,3.5,1.360979915
36,UMS,behavior,whisk,3.6,0.611285985
37,UMS,behavior,whisk,3.7,0.994729042
38,UMS,behavior,whisk,3.8,1.110907197
39,UMS,behavior,whisk,3.9,1.699685216
40,UMS,behavior,whisk,4,1.480089784
41,UMS,behavior,whisk,4.1,1.940236926
42,UMS,behavior,whisk,4.2,2.589415789
43,UMS,behavior,whisk,4.3,0.4116503
44,UMS,behavior,whisk,4.4,1.077574968
45,UMS,behavior,whisk,4.5,1.741042614
46,UMS,behavior,whisk,4.6,0.723527253
47,UMS,behavior,whisk,4.7,1.117989421
48,UMS,behavior,whisk,4.8,0.617949963
49,UMS,behavior,whisk,4.9,0.38961044
50,UMS,behavior,whisk,5,0.142372444
51,UMS,behavior,whisk,5.1,0.130321488
52,UMS,behavior,whisk,5.2,0.080236107
53,UMS,behavior,whisk,5.3,0.072864123
54,UMS,behavior,whisk,5.4,0.108589374
55,UMS,behavior,whisk,5.5,0.079772539
56,UMS,behavior,whisk,5.6,0.098030835
57,UMS,behavior,whisk,5.7,0.120037444
